Hạng mục( Category),Tên sản phẩm,Link affiliate shopee,Ảnh sản phẩm,Giá sale,Giá tham khảo,Link affiliate tiktok
Máy Câu,[LK HÒA] [MUA 01 MÁY TẶNG 01 MỒI LURE CÁ SẮT] MÁY CÂU CÁ DAIWA RS CHUYÊN LURE - DÒNG MÁY CHÍNH HÃNG DAIWA,https://s.shopee.vn/1122C4Ue4Q,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lt7pc7rrshxg90,₫690.000,₫870.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Mồi Câu,"[LK HÒA]  MỒI CÂU ĐÀI LK, MỒI CHUYÊN DÙNG CHO CÂU RÔ PHI, CHÉP, TRẮM CỎ",https://s.shopee.vn/7Kw5jjDUEW,https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mcc9itl8ec0555,₫35.000,₫42.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Mồi Câu,"MỒI CÂU CÁ CHUYÊN LURE CHUỘT LK- FULL PHIÊN BẢN SKIN, S, M, L",https://s.shopee.vn/7Kw5jl9irq,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lmvayukeuxgf85,₫99.000,₫120.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Mồi Câu,"[LK HÒA] MỒI CÂU CHUYÊN CHÉP LK, CÁM CHÉP LK",https://s.shopee.vn/2BDzaHSMwn,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lx2fi78t3suzcd,₫38.000,₫47.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Mồi Câu,"[LK HÒA] MỒI CÂU CHUYÊN LURE CHUỘT LK ACTION NỔI VÀ LỬNG (S/7G, M/8G, M/SKIN8G VÀ L/12G LỬNG)",https://s.shopee.vn/5VURYQoKsK,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lvlaal9pqa35ef,,₫120.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Mồi Câu,Mồi câu chuyên câu lure cóc lk,https://s.shopee.vn/W5lbGYX8D,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lsxlmceg3tmsf8,₫79.000,₫100.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Mồi Câu,"MỒI CÂU ĐÀI LK, MỒI CHUYÊN DÙNG CHO CÂU RÔ PHI, CHÉP, TRẮM CỎ",https://s.shopee.vn/AKZhJLwHYi,https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mh8kn74qjkej9c,,₫42.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Mồi Câu,MỒI CÂU CHUYÊN LURE CHUỘT TIỂU LK - CHUYÊN ĐÁNH SIZE BÚ BÌNH - ACTION NỔI SIZE 5G  Đi Câu Câu Cá Fishing Fish Bắt Cá,https://s.shopee.vn/60Qi9PgD8a,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lrtmsqufuimc62,₫95.000,₫120.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Mồi Câu,"[LK HÒA] MỒI CÂU CHUYÊN LURE BỌ LK, MỒI CÂU CHUYÊN LURE LK",https://s.shopee.vn/AKZhJOGiVD,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mqif82yw5kpb9c,₫99.000,₫129.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Mồi Câu,THÍNH CÂU CÁ LK HOÀ,https://s.shopee.vn/9pdQiUDbtd,https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lflwx9dfk9l045,,₫100.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Mồi Câu,CHAI  HƯƠNG LIỆU LŨNG CỦ MỒI CÂU CÁ LK LŨNG CÚ - CHUYÊN TRẮM ĐEN CHÉP,https://s.shopee.vn/2gAGBKI4v5,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lvpqjwkckxqyc9,₫289.000,₫350.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Mồi Câu,HŨ THÍNH CÂU CÁ CHUYÊN CÂU ĐÀI LK,https://s.shopee.vn/6Ak8Lm4DEj,https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lkg5a5gjjnocaa,,₫60.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Mồi Câu,Mồi lure chuyên săn chẽm vược Horal,https://s.shopee.vn/4fvKZ2Miaf,https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lfuoco83lrsn36,₫59.000,₫79.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Mồi Câu,"[LK HÒA] CÁM CHÉP LK SERIES 2, MỒI CÂU CHÉP THẾ HỆ MỚI",https://s.shopee.vn/9V0aJviOei,https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m35venq79ue113,₫199.000,₫250.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Mồi Câu,"[MỞ BÁN] MỒI CÂU CHUỘT TRƠN LK, CHUỘT TRƠN PHIÊN BẢN MỚI, MỒI HƠI CHUỘT TRƠN LK CHUYÊN CÂU LURE",https://s.shopee.vn/1BLSOcrzej,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m7g3r1m5uuik94,₫79.000,₫99.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Mồi Câu,"[LK HÒA] [KHI MUA 05 CON SẼ ĐƯỢC TẶNG THÊM 01 CÁ SẮT LK] MỒI CÂU LURE CÁ SẮT LK, MỒI CÁ SẮT CHUYÊN LURE Câu Cá Bắt Cá",https://s.shopee.vn/7Kw5jyKhB1,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lvjxm5m7ovaceb,₫48.000,₫60.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Mồi Câu,"[LK HÒA] MỒI CÂU RÔ PHI LK HÒA, MỒI CÂU ĐÀI CHUYÊN RÔ PHI LK",https://s.shopee.vn/1LesaxTvxP,https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mh8k1sqk2haj43,,₫44.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Mồi Câu,"[LK HÒA] MỒI CÁM CHÉP RẺ LK, MỒI CHUYÊN CHÉP RẺ LK",https://s.shopee.vn/3B6WmLI0u2,https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mh8jtvoaxyq568,₫85.000,₫105.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Mồi Câu,MỒI CÂU CHUYÊN LURE CHẼM MĂNG VƯỢC- COMBO 5IN1 SKINKING,https://s.shopee.vn/60Qi9Z7IvJ,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lma0lkxu0p9b82,₫159.000,₫200.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Dây Câu,"[LK HÒA] TRỤC CÂU ĐÀI LK CHUYÊN RÔ CHÉP, TRỤC CHUYÊN CÂU RÔ CHÉP LK",https://s.shopee.vn/gPBnmFRrb,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lzg00ewfcx1p8c,₫29.000,₫39.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Dây Câu,"MỞ BÁN DÂY DÙ CHUYÊN CÂU LURE LK HOA- DÀI 100M VÀ 150M CHO ENH EM LỰA CHỌN FULL SIZE 0,6-3,0",https://s.shopee.vn/6fgOwodM0s,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m8udduquy83212,₫129.000,₫160.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Dây Câu,[LK HÒA] DÙ PE X4 LK CHUYÊN CÂU LURE Fishing,https://s.shopee.vn/50YAxlWRJJ,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lxfakvdqu1nfa7,₫85.000,₫105.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Dây Câu,"DÂY CƯỚC CHUYÊN CÂU CÁ LK BLACK CARP - LÀM LEADER, DÂY LINK, TRỤC THẺO",https://s.shopee.vn/4VbuMrYDJv,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lo57w0qn89zf84,₫149.000,₫190.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Dây Câu,[LK HÒA] KHÓA LINK CHUYÊN CÂU LURE SNAP LK Đi Câu Bắt Cá,https://s.shopee.vn/6Ak8Lw0Rqv,https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mjhzcueq169u40,₫39.000,₫50.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Dây Câu,"[LK HÒA] THẺO CÂU ĐÀI BUỘC SẴN LK CHUYÊN RÔ CHÉP, THẺO LK LÀM SẴN CÂU RÔ CHÉP",https://s.shopee.vn/8AVCjckrtB,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lzg074vpafmp4d,,,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Dây Câu,"[LK HOÀ] [ MUA 01 CUỘN DÙ TẶNG 01 BỊCH KHÓA LINK ] DÙ LK X8 CHUYÊN LURE THẾ HỆ MỚI, DÙ LK X8 MÀU ĐEN CHUYÊN CÂU LURE",https://s.shopee.vn/1qb9BziaZg,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mqk2c56xct8ibd,₫199.000,₫260.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Dây Câu,"[LK HÒA] DÂY DÙ CHUYÊN CÂU LURE LK RED X8, DÂY CÂU CHUYÊN LURE LK RED 150M, DÂY LK RED KHÔNG PHAI MÀU",https://s.shopee.vn/3VjNB4bQZn,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m7g3kj9upjxvd0,₫189.000,₫240.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Phao & Lưỡi Câu,[LK HÒA] LƯỠI CÂU ĐƠN LK - LƯỠI CÂU RÔ CHÉP LK,https://s.shopee.vn/9fK0WPuiBB,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-luiyzvfbytci7d,₫28.000,₫35.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Phao & Lưỡi Câu,[LK HÒA] LƯỠI CÂU ĐÀI - LƯỠI SĂN HÀNG LK HÒA,https://s.shopee.vn/30n6aB1x1T,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ls80ij14mp3t51,,₫55.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Phao & Lưỡi Câu,[ MỞ BÁN ] PHAO HỐ ĐẤU LK NANO- LÔNG CÔNG PHIÊN BẢN CHUYÊN CÂU ĐÀI CHÍNH HÃNG LK,https://s.shopee.vn/4fvKZFdjxg,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lo2ax8ql0k4t42,₫95.000,₫120.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Phao & Lưỡi Câu,Lưỡi câu ar 15 lưỡi câu lure,https://s.shopee.vn/5LB1MUA7p7,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ltnec11y2p716b,₫79.000,₫100.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Phao & Lưỡi Câu,Phao câu lục độc quyền LK Hòa- Vẩy Sơn và Cuốn chỉ,https://s.shopee.vn/1Lesb93hrm,https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lft6qpk9db7b15,₫180.000,₫230.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Phụ Kiện,"[LK HÒA] KÌM GỠ LƯỠI GỠ CÁ VÀ VÒNG RING LK, KÌM ĐA NĂNG CẮT DÂY LEADER VÀ DÂY PE",https://s.shopee.vn/4VbuMyUQKz,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-luzvkzkg9r8lbd,₫119.000,₫150.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Phụ Kiện,"[LK HÒA] TÚI ĐỰNG CÁ LK, TÚI CÂU ĐỰNG CÁ HOẶC ĐỰNG PHỤ KIỆN ĐI CÂU",https://s.shopee.vn/W5lbdjnVU,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mqk2iwfck6x702,₫319.000,₫399.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Phụ Kiện,"[LK HÒA] KẸP GẮP CÁ LK, KẸP GẮP CÁ ĐƯỢC LÀM TỪ THÉP KHÔNG RỈ",https://s.shopee.vn/50YAxvJSlO,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-luzvkzkfhnvp61,₫95.000,₫120.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Phụ Kiện,"[LK HÒA] CÁN VỢT LK, CÁN VỢT CACBON CHUYÊN RÔ CHÉP VÀ CÁC LOẠI CÁ SIZE VỪA",https://s.shopee.vn/3LPwysPP6H,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ltd7rjylv0d5c7,₫480.000,₫600.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Phụ Kiện,"[LK HÒA] RỌNG ĐỰNG CÁ LK, RỌNG CÁ SĂN HÀNG",https://s.shopee.vn/1qb9C8CuBW,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ltd7rjym218k3e,₫390.000,₫500.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Phụ Kiện,"BỘ GÁC CẦN SĂN HÀNG, GÁC CẦN HỐ ĐẤU LK, CHUYÊN DÙNG CHO CÁC LOẠI CẦN SĂN HÀNG",https://s.shopee.vn/LmLPO5M96,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mn2dwxlc6z9db8,,,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
Phụ Kiện,"[LK HÒA] CÁN VỢT LK HÒA, CÁN VỢT CACBON CHUYÊN SĂN HÀNG",https://s.shopee.vn/19V0mpvdC,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ltd7rjylqsntba,₫440.000,₫550.000,https://vt.tiktok.com/ZS9kJHJuDnoUp-AeYDB/
